Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/cache/stats,1,0,66.90270000035525,66.90270000035525,66.90270000035525,66.90270000035525,167.0,0.0001515368721308815,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,GET /api/v1/models,14,0,5,4.764392857006377,2.5408000001334585,7.163599999330472,30.0,0.002121516209832341,0.0,5,5,5,6,6,7,7,7,7,7,7
POST,POST /api/v1/leias,223,0,10,9.061826008997546,2.854099999240134,21.539199999097036,86.0,0.033792722485186576,0.0,10,10,11,11,11,11,13,13,22,22,22
POST,POST /api/v1/leias/{sessionId}/messages,3004,26,25000,27680.359366944187,664.0150999992329,617216.0074999993,1898.0379494007989,0.45521676388116805,0.003939958675402919,25000,29000,32000,34000,39000,41000,47000,52000,607000,617000,617000
ai_metric,ai_latency/mixed/adversarial,245,0,25000,28468.61236241399,1077.2249698638916,644845.5445766449,1693.6979591836734,0.03712653367206597,0.0,25000,32000,35000,36000,39000,41000,46000,51000,645000,645000,645000
ai_metric,ai_latency/mixed/long,627,0,30000,34774.06020065624,2040.452241897583,670455.775976181,2349.874003189793,0.0950136188260627,0.0,30000,34000,36000,38000,41000,43000,47000,53000,670000,670000,670000
ai_metric,ai_latency/mixed/medium,1324,0,24000,27700.528951569988,1188.7681484222412,655076.6134262085,1830.7235649546828,0.2006348187012871,0.0,24000,28000,31000,32000,37000,40000,46000,52000,655000,655000,655000
ai_metric,ai_latency/mixed/short,782,0,20000,22649.019787378627,663.7938022613525,653793.4257984161,1604.1483375959078,0.11850183400634934,0.0,20000,26000,28000,30000,36000,39000,42000,44000,654000,654000,654000
session_metric,session_complete/mixed/adversarial,10,0,538000,848000.8500099182,269813.2932186127,2335536.8888378143,0.0,0.001515368721308815,0.0,596000,661000,904000,2200000,2336000,2336000,2336000,2336000,2336000,2336000,2336000
session_metric,session_complete/mixed/long,20,0,1956000,2291524.1294026375,1432328.9120197296,3427088.8073444366,0.0,0.00303073744261763,0.0,1973000,2528000,3337000,3372000,3422000,3427000,3427000,3427000,3427000,3427000,3427000
session_metric,session_complete/mixed/medium,83,0,1183000,1252425.3593927405,211033.64253044128,2854891.5388584137,0.0,0.012577560386863165,0.0,1183000,1482000,1581000,1918000,2063000,2182000,2586000,2855000,2855000,2855000,2855000
session_metric,session_complete/mixed/short,73,0,628000,737305.1853343232,197328.26781272888,1819431.0653209686,0.0,0.01106219166555435,0.0,628000,905000,933000,969000,1046000,1446000,1480000,1819000,1819000,1819000,1819000
,Aggregated,6406,26,25000,59070.27910662906,2.5408000001334585,3427088.8073444366,1762.1167655323134,0.9707452028704269,0.003939958675402919,25000,29000,32000,35000,40000,45000,655000,1263000,2855000,3427000,3427000
