Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/cache/stats,1,0,100.93090000009397,100.93090000009397,100.93090000009397,100.93090000009397,167.0,0.0011122689567481321,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,GET /api/v1/models,1,0,11.27829999950336,11.27829999950336,11.27829999950336,11.27829999950336,30.0,0.0011122689567481321,0.0,11,11,11,11,11,11,11,11,11,11,11
POST,POST /api/v1/leias,43,0,11,14.589546511583755,3.2790000004752073,26.20889999980136,86.0,0.04782756514016968,0.0,11,19,22,22,23,24,26,26,26,26,26
POST,POST /api/v1/leias/{sessionId}/messages,419,0,18000,15534.11111312643,1091.9205000000147,28430.818400000135,1834.3914081145585,0.4660406928774673,0.0,18000,20000,22000,23000,24000,25000,27000,28000,28000,28000,28000
ai_metric,ai_latency/mixed/adversarial,24,0,3900,8876.883695522944,2569.3867206573486,23591.36986732483,1226.0,0.026694454961955168,0.0,4000,7100,20000,21000,22000,23000,24000,24000,24000,24000,24000
ai_metric,ai_latency/mixed/long,104,0,21000,20179.458267413655,6170.177698135376,28430.532693862915,2296.326923076923,0.11567597150180572,0.0,21000,23000,24000,24000,27000,27000,28000,28000,28000,28000,28000
ai_metric,ai_latency/mixed/medium,195,0,17000,14807.684953396138,1091.3150310516357,27952.67939567566,1685.8820512820512,0.21689244656588574,0.0,17000,20000,21000,22000,24000,25000,26000,27000,28000,28000,28000
ai_metric,ai_latency/mixed/short,96,0,14000,13641.358946760496,1813.255786895752,27002.99119949341,1596.40625,0.10677781984782067,0.0,14000,17000,19000,20000,23000,24000,25000,27000,27000,27000,27000
session_metric,session_complete/mixed/adversarial,2,0,259422.49751091003,263438.588142395,259422.49751091003,267454.67877388,0.0,0.0022245379134962643,0.0,267000,267000,267000,267000,267000,267000,267000,267000,267000,267000,267000
session_metric,session_complete/mixed/medium,6,0,425000,452737.12396621704,209683.53247642517,617366.2276268005,0.0,0.006673613740488792,0.0,523000,523000,542000,542000,617000,617000,617000,617000,617000,617000,617000
session_metric,session_complete/mixed/short,5,0,473000,482114.12386894226,224558.85291099548,748474.1423130035,0.0,0.00556134478374066,0.0,473000,503000,503000,748000,748000,748000,748000,748000,748000,748000,748000
,Aggregated,896,0,17000,20839.487219678133,3.2790000004752073,748474.1423130035,1699.4966517857142,0.9965929852463263,0.0,17000,20000,22000,23000,24000,26000,28000,399000,748000,748000,748000
